groupID	cellType	UMAP1	UMAP2	Pseudotime	color	MyeloidProbs	ErythroidProbs	BLymphoidProbs	TLymphoidProbs
202	CD14mono	-8.06895080833321	2.71570624588824	0.382726035283313	#F28238	0.999733869199431	0	0	0
203	CD14mono	-7.89000526695137	3.45873345612383	0.332582106469423	#F28238	0.995855511291562	0	0	0
204	early-Ery	-5.42696777610664	-4.97751770735883	0.628772592037842	#CC1F39	0	0.999999999988701	0	0
205	NK	2.98871549339409	-8.37676392317914	0.99927632469959	#492264	0	0	0	0.999383009812204
206	CD4	7.3086651203167	-0.780071301471229	0.977267270520884	#005F9F	0	0	0	0.998464908886821
207	CD14mono	-9.10653892784004	1.08885254143572	0.39796189014904	#F28238	0.999880660110558	0	0	0
208	CD4	8.57494910926933	0.262714462269311	0.979323416603027	#005F9F	0	0	0	0.998514483922263
209	late-Ery	-7.75722948341255	-10.3274179530253	0.896388016825666	#901838	0	0.999999999999741	0	0
210	CD16mono	-9.0874702098835	5.51596059082842	0.365654798235189	#F26625	0.999131479768084	0	0	0
211	CD4	8.01227172584648	0.26067407606936	0.974541844725257	#005F9F	0	0	0	0.998232033593657
212	CD14mono	-11.6173726680744	-0.556559531103606	0.3889855722218	#F28238	0.9998404670989	0	0	0
213	late-Ery	-7.28464857368355	-11.3937641215434	0.91131653639965	#901838	0	0.999999999999801	0	0
214	CD8	6.0404446956646	-0.10295690418386	0.97737977866685	#1481C4	0	0	0	0.998468176174363
215	pro/pre-B	-1.03068188457375	10.2351383137593	0.739740092091661	#A896C8	0	0	0.808852259384838	0.190735083204115
216	NaiveB	2.90227493019218	10.0189308094869	0.854045855809019	#A896C8	0	0	0.979532872566494	0.0204229426911454
217	early-Ery	-6.88683620719795	-7.55245838881635	0.788432942013329	#CC1F39	0	0.999999999999689	0	0
218	GMP	-6.91063848762398	3.18185676812029	0.261201728619865	#FAA31B	0.994253717325035	0	0	0
219	pDC	-2.8248011234272	5.44339026688433	0.193037511656151	#854199	0.975713193628554	0.0113970140492739	0.0101013173383103	0
220	CD14mono	-9.1766807201374	-0.188496282409663	0.398885112297655	#F28238	0.999888674940339	0	0	0
221	NK	3.05033453674431	-8.43633805037641	0.998321518596098	#492264	0	0	0	0.99936335524672
222	CD8	5.28610213966484	-3.54563294173383	0.975577963718563	#1481C4	0	0	0	0.998351155874425
223	CD14mono	-11.6052838924397	-0.268019778739448	0.393636834408212	#F28238	0.999862711976397	0	0	0
224	CD4	6.78701289863701	2.05329121826983	0.912340282334103	#005F9F	0	0	0.0424193598521729	0.956761360946089
225	NK	2.69807561607475	-9.82110272170209	0.999691271851412	#492264	0	0	0	0.999391114422183
226	MEP	-3.50525943069344	-2.52684102774763	0.762975146868286	#EF3741	0	0	0.947922279244777	0.0519652881257678
227	NaiveB	4.46244128913994	10.4353517460713	0.871681470710392	#A896C8	0	0	0.993200847445324	0
228	MemoryB	4.30111583442802	8.65278281449175	0.858887595882883	#B280B9	0	0	0.986439007815347	0.0135317165104254
